story_id	envelope_file	envelope_shape	mel_file	mel_shape	mel_dtype	mel_source_sampling_hz	mel_release_operation	bert_50hz_file	bert_50hz_shape	bert_50hz_dtype	bert_source_sampling_hz	bert_release_operation	wav2vec2_file	wav2vec2_shape	wav2vec2_dtype	bert_word_file	bert_word_shape	bert_word_dtype
13	derivatives/stimulus_features/envelope/envelope_100hz/13_envelope.npy	30414	derivatives/stimulus_features/mel/mel_50hz/story-13_mel.npy	15207x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-13_bert.npy	15207x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-13_wav2vec2-layer9.npy	15206x1024	float32	derivatives/stimulus_features/bert/word_level/story-13_bert-layers01to12.mat	12x748x768	float32
14	derivatives/stimulus_features/envelope/envelope_100hz/14_envelope.npy	19674	derivatives/stimulus_features/mel/mel_50hz/story-14_mel.npy	9837x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-14_bert.npy	9837x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-14_wav2vec2-layer9.npy	9836x1024	float32	derivatives/stimulus_features/bert/word_level/story-14_bert-layers01to12.mat	12x490x768	float32
15	derivatives/stimulus_features/envelope/envelope_100hz/15_envelope.npy	30726	derivatives/stimulus_features/mel/mel_50hz/story-15_mel.npy	15363x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-15_bert.npy	15363x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-15_wav2vec2-layer9.npy	15362x1024	float32	derivatives/stimulus_features/bert/word_level/story-15_bert-layers01to12.mat	12x764x768	float32
16	derivatives/stimulus_features/envelope/envelope_100hz/16_envelope.npy	30549	derivatives/stimulus_features/mel/mel_50hz/story-16_mel.npy	15274x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-16_bert.npy	15274x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-16_wav2vec2-layer9.npy	15274x1024	float32	derivatives/stimulus_features/bert/word_level/story-16_bert-layers01to12.mat	12x756x768	float32
17	derivatives/stimulus_features/envelope/envelope_100hz/17_envelope.npy	29071	derivatives/stimulus_features/mel/mel_50hz/story-17_mel.npy	14535x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-17_bert.npy	14535x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-17_wav2vec2-layer9.npy	14535x1024	float32	derivatives/stimulus_features/bert/word_level/story-17_bert-layers01to12.mat	12x732x768	float32
18	derivatives/stimulus_features/envelope/envelope_100hz/18_envelope.npy	31406	derivatives/stimulus_features/mel/mel_50hz/story-18_mel.npy	15703x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-18_bert.npy	15703x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-18_wav2vec2-layer9.npy	15702x1024	float32	derivatives/stimulus_features/bert/word_level/story-18_bert-layers01to12.mat	12x754x768	float32
19	derivatives/stimulus_features/envelope/envelope_100hz/19_envelope.npy	32463	derivatives/stimulus_features/mel/mel_50hz/story-19_mel.npy	16231x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-19_bert.npy	16231x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-19_wav2vec2-layer9.npy	16231x1024	float32	derivatives/stimulus_features/bert/word_level/story-19_bert-layers01to12.mat	12x748x768	float32
20	derivatives/stimulus_features/envelope/envelope_100hz/20_envelope.npy	30672	derivatives/stimulus_features/mel/mel_50hz/story-20_mel.npy	15336x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-20_bert.npy	15336x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-20_wav2vec2-layer9.npy	15335x1024	float32	derivatives/stimulus_features/bert/word_level/story-20_bert-layers01to12.mat	12x755x768	float32
21	derivatives/stimulus_features/envelope/envelope_100hz/21_envelope.npy	30821	derivatives/stimulus_features/mel/mel_50hz/story-21_mel.npy	15410x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-21_bert.npy	15410x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-21_wav2vec2-layer9.npy	15410x1024	float32	derivatives/stimulus_features/bert/word_level/story-21_bert-layers01to12.mat	12x772x768	float32
22	derivatives/stimulus_features/envelope/envelope_100hz/22_envelope.npy	32561	derivatives/stimulus_features/mel/mel_50hz/story-22_mel.npy	16280x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-22_bert.npy	16280x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-22_wav2vec2-layer9.npy	16280x1024	float32	derivatives/stimulus_features/bert/word_level/story-22_bert-layers01to12.mat	12x752x768	float32
23	derivatives/stimulus_features/envelope/envelope_100hz/23_envelope.npy	32117	derivatives/stimulus_features/mel/mel_50hz/story-23_mel.npy	16058x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-23_bert.npy	16058x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-23_wav2vec2-layer9.npy	16058x1024	float32	derivatives/stimulus_features/bert/word_level/story-23_bert-layers01to12.mat	12x753x768	float32
24	derivatives/stimulus_features/envelope/envelope_100hz/24_envelope.npy	26604	derivatives/stimulus_features/mel/mel_50hz/story-24_mel.npy	13302x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-24_bert.npy	13302x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-24_wav2vec2-layer9.npy	13301x1024	float32	derivatives/stimulus_features/bert/word_level/story-24_bert-layers01to12.mat	12x663x768	float32
25	derivatives/stimulus_features/envelope/envelope_100hz/25_envelope.npy	30470	derivatives/stimulus_features/mel/mel_50hz/story-25_mel.npy	15235x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-25_bert.npy	15235x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-25_wav2vec2-layer9.npy	15234x1024	float32	derivatives/stimulus_features/bert/word_level/story-25_bert-layers01to12.mat	12x764x768	float32
26	derivatives/stimulus_features/envelope/envelope_100hz/26_envelope.npy	29136	derivatives/stimulus_features/mel/mel_50hz/story-26_mel.npy	14568x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-26_bert.npy	14568x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-26_wav2vec2-layer9.npy	14567x1024	float32	derivatives/stimulus_features/bert/word_level/story-26_bert-layers01to12.mat	12x777x768	float32
27	derivatives/stimulus_features/envelope/envelope_100hz/27_envelope.npy	28058	derivatives/stimulus_features/mel/mel_50hz/story-27_mel.npy	14029x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-27_bert.npy	14029x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-27_wav2vec2-layer9.npy	14028x1024	float32	derivatives/stimulus_features/bert/word_level/story-27_bert-layers01to12.mat	12x771x768	float32
28	derivatives/stimulus_features/envelope/envelope_100hz/28_envelope.npy	28980	derivatives/stimulus_features/mel/mel_50hz/story-28_mel.npy	14490x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-28_bert.npy	14490x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-28_wav2vec2-layer9.npy	14489x1024	float32	derivatives/stimulus_features/bert/word_level/story-28_bert-layers01to12.mat	12x777x768	float32
29	derivatives/stimulus_features/envelope/envelope_100hz/29_envelope.npy	29066	derivatives/stimulus_features/mel/mel_50hz/story-29_mel.npy	14533x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-29_bert.npy	14533x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-29_wav2vec2-layer9.npy	14532x1024	float32	derivatives/stimulus_features/bert/word_level/story-29_bert-layers01to12.mat	12x759x768	float32
30	derivatives/stimulus_features/envelope/envelope_100hz/30_envelope.npy	28359	derivatives/stimulus_features/mel/mel_50hz/story-30_mel.npy	14179x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-30_bert.npy	14179x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-30_wav2vec2-layer9.npy	14179x1024	float32	derivatives/stimulus_features/bert/word_level/story-30_bert-layers01to12.mat	12x775x768	float32
31	derivatives/stimulus_features/envelope/envelope_100hz/31_envelope.npy	27867	derivatives/stimulus_features/mel/mel_50hz/story-31_mel.npy	13934x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-31_bert.npy	13934x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-31_wav2vec2-layer9.npy	13933x1024	float32	derivatives/stimulus_features/bert/word_level/story-31_bert-layers01to12.mat	12x779x768	float32
32	derivatives/stimulus_features/envelope/envelope_100hz/32_envelope.npy	28884	derivatives/stimulus_features/mel/mel_50hz/story-32_mel.npy	14442x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-32_bert.npy	14442x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-32_wav2vec2-layer9.npy	14441x1024	float32	derivatives/stimulus_features/bert/word_level/story-32_bert-layers01to12.mat	12x727x768	float32
33	derivatives/stimulus_features/envelope/envelope_100hz/33_envelope.npy	28168	derivatives/stimulus_features/mel/mel_50hz/story-33_mel.npy	14084x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-33_bert.npy	14084x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-33_wav2vec2-layer9.npy	14083x1024	float32	derivatives/stimulus_features/bert/word_level/story-33_bert-layers01to12.mat	12x735x768	float32
34	derivatives/stimulus_features/envelope/envelope_100hz/34_envelope.npy	30358	derivatives/stimulus_features/mel/mel_50hz/story-34_mel.npy	15178x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-34_bert.npy	15178x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-34_wav2vec2-layer9.npy	15178x1024	float32	derivatives/stimulus_features/bert/word_level/story-34_bert-layers01to12.mat	12x811x768	float32
35	derivatives/stimulus_features/envelope/envelope_100hz/35_envelope.npy	28767	derivatives/stimulus_features/mel/mel_50hz/story-35_mel.npy	14383x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-35_bert.npy	14383x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-35_wav2vec2-layer9.npy	14383x1024	float32	derivatives/stimulus_features/bert/word_level/story-35_bert-layers01to12.mat	12x775x768	float32
36	derivatives/stimulus_features/envelope/envelope_100hz/36_envelope.npy	28450	derivatives/stimulus_features/mel/mel_50hz/story-36_mel.npy	14224x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-36_bert.npy	14224x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-36_wav2vec2-layer9.npy	14224x1024	float32	derivatives/stimulus_features/bert/word_level/story-36_bert-layers01to12.mat	12x759x768	float32
37	derivatives/stimulus_features/envelope/envelope_100hz/37_envelope.npy	22266	derivatives/stimulus_features/mel/mel_50hz/story-37_mel.npy	11132x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-37_bert.npy	11132x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-37_wav2vec2-layer9.npy	11132x1024	float32	derivatives/stimulus_features/bert/word_level/story-37_bert-layers01to12.mat	12x591x768	float32
38	derivatives/stimulus_features/envelope/envelope_100hz/38_envelope.npy	27246	derivatives/stimulus_features/mel/mel_50hz/story-38_mel.npy	13622x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-38_bert.npy	13622x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-38_wav2vec2-layer9.npy	13622x1024	float32	derivatives/stimulus_features/bert/word_level/story-38_bert-layers01to12.mat	12x730x768	float32
39	derivatives/stimulus_features/envelope/envelope_100hz/39_envelope.npy	28483	derivatives/stimulus_features/mel/mel_50hz/story-39_mel.npy	14241x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-39_bert.npy	14241x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-39_wav2vec2-layer9.npy	14241x1024	float32	derivatives/stimulus_features/bert/word_level/story-39_bert-layers01to12.mat	12x728x768	float32
40	derivatives/stimulus_features/envelope/envelope_100hz/40_envelope.npy	28116	derivatives/stimulus_features/mel/mel_50hz/story-40_mel.npy	14057x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-40_bert.npy	14057x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-40_wav2vec2-layer9.npy	14057x1024	float32	derivatives/stimulus_features/bert/word_level/story-40_bert-layers01to12.mat	12x752x768	float32
41	derivatives/stimulus_features/envelope/envelope_100hz/41_envelope.npy	27915	derivatives/stimulus_features/mel/mel_50hz/story-41_mel.npy	13957x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-41_bert.npy	13957x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-41_wav2vec2-layer9.npy	13957x1024	float32	derivatives/stimulus_features/bert/word_level/story-41_bert-layers01to12.mat	12x714x768	float32
42	derivatives/stimulus_features/envelope/envelope_100hz/42_envelope.npy	27197	derivatives/stimulus_features/mel/mel_50hz/story-42_mel.npy	13598x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-42_bert.npy	13598x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-42_wav2vec2-layer9.npy	13598x1024	float32	derivatives/stimulus_features/bert/word_level/story-42_bert-layers01to12.mat	12x732x768	float32
43	derivatives/stimulus_features/envelope/envelope_100hz/43_envelope.npy	22756	derivatives/stimulus_features/mel/mel_50hz/story-43_mel.npy	11377x80	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-43_bert.npy	11377x768	float64	100	decimated_by_selecting_every_second_frame	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-43_wav2vec2-layer9.npy	11377x1024	float32	derivatives/stimulus_features/bert/word_level/story-43_bert-layers01to12.mat	12x603x768	float32
44	derivatives/stimulus_features/envelope/envelope_100hz/44_envelope.npy	28281	derivatives/stimulus_features/mel/mel_50hz/story-44_mel.npy	14140x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-44_bert.npy	14140x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-44_wav2vec2-layer9.npy	14139x1024	float32	derivatives/stimulus_features/bert/word_level/story-44_bert-layers01to12.mat	12x738x768	float32
45	derivatives/stimulus_features/envelope/envelope_100hz/45_envelope.npy	28927	derivatives/stimulus_features/mel/mel_50hz/story-45_mel.npy	14463x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-45_bert.npy	14463x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-45_wav2vec2-layer9.npy	14462x1024	float32	derivatives/stimulus_features/bert/word_level/story-45_bert-layers01to12.mat	12x775x768	float32
46	derivatives/stimulus_features/envelope/envelope_100hz/46_envelope.npy	27807	derivatives/stimulus_features/mel/mel_50hz/story-46_mel.npy	13903x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-46_bert.npy	13903x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-46_wav2vec2-layer9.npy	13902x1024	float32	derivatives/stimulus_features/bert/word_level/story-46_bert-layers01to12.mat	12x746x768	float32
47	derivatives/stimulus_features/envelope/envelope_100hz/47_envelope.npy	28154	derivatives/stimulus_features/mel/mel_50hz/story-47_mel.npy	14077x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-47_bert.npy	14077x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-47_wav2vec2-layer9.npy	14076x1024	float32	derivatives/stimulus_features/bert/word_level/story-47_bert-layers01to12.mat	12x757x768	float32
48	derivatives/stimulus_features/envelope/envelope_100hz/48_envelope.npy	19331	derivatives/stimulus_features/mel/mel_50hz/story-48_mel.npy	9666x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-48_bert.npy	9666x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-48_wav2vec2-layer9.npy	9665x1024	float32	derivatives/stimulus_features/bert/word_level/story-48_bert-layers01to12.mat	12x511x768	float32
49	derivatives/stimulus_features/envelope/envelope_100hz/49_envelope.npy	28249	derivatives/stimulus_features/mel/mel_50hz/story-49_mel.npy	14124x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-49_bert.npy	14124x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-49_wav2vec2-layer9.npy	14123x1024	float32	derivatives/stimulus_features/bert/word_level/story-49_bert-layers01to12.mat	12x743x768	float32
50	derivatives/stimulus_features/envelope/envelope_100hz/50_envelope.npy	28564	derivatives/stimulus_features/mel/mel_50hz/story-50_mel.npy	14282x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-50_bert.npy	14282x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-50_wav2vec2-layer9.npy	14281x1024	float32	derivatives/stimulus_features/bert/word_level/story-50_bert-layers01to12.mat	12x778x768	float32
